syn_id,pre,pre_id,pre_common_id,post,post_id,post_common_id,x_pos,y_pos,z_pos,size
1,ADAL,179,1,AVAR,109,44,4963.84,5990.400000000001,7400,36361
1,ADAL,179,1,SMDDL,122,170,4963.84,5990.400000000001,7400,49584
1,ADAL,179,1,RICR,166,118,4963.84,5990.400000000001,7400,311201
2,ADAL,179,1,AVBR,62,46,7111.68,9277.44,5700,20949
2,ADAL,179,1,RID,165,119,7111.68,9277.44,5700,281826
3,ADAL,179,1,AVJR,90,56,5611.52,7567.360000000001,6450,1017121
3,ADAL,179,1,AVBL,177,45,5611.52,7567.360000000001,6450,767233
3,ADAL,179,1,AVDR,169,48,5611.52,7567.360000000001,6450,158132
4,ADAL,179,1,RIML,79,125,5127.68,5040.64,9850,46123
4,ADAL,179,1,AIBR,174,14,5127.68,5040.64,9850,31602
4,ADAL,179,1,AVAR,109,44,5127.68,5040.64,9850,44170
5,ADAL,179,1,RIML,79,125,5109.76,5027.84,9900,191494
5,ADAL,179,1,AVBR,62,46,5109.76,5027.84,9900,35653
5,ADAL,179,1,PVPL,67,107,5109.76,5027.84,9900,209321
6,ADAR,176,2,AVAL,71,43,6999.04,4206.08,7550,143090
6,ADAR,176,2,RICL,167,117,6999.04,4206.08,7550,261921
7,ADAR,176,2,AVAR,109,44,10539.52,6502.400000000001,5650,70071
7,ADAR,176,2,AVBL,177,45,10539.52,6502.400000000001,5650,106876
8,ADAR,176,2,AVBL,177,45,6026.24,4142.08,10200,285398
8,ADAR,176,2,RIMR,78,126,6026.24,4142.08,10200,270346
9,ADAR,176,2,AVBR,62,46,8819.2,5081.6,6850,566427
9,ADAR,176,2,ASHR,175,34,8819.2,5081.6,6850,349766
10,ADAR,176,2,AVBR,62,46,6202.88,4049.92,9950,157199
10,ADAR,176,2,RIMR,78,126,6202.88,4049.92,9950,73486
11,ADAR,176,2,AVDL,168,47,9223.68,5255.68,6400,19715
11,ADAR,176,2,AVBR,62,46,9223.68,5255.68,6400,129438
11,ADAR,176,2,ASHR,175,34,9223.68,5255.68,6400,169299
11,ADAR,176,2,AVJL,82,55,9223.68,5255.68,6400,110151
12,ADEL,188,3,ADER,189,4,6205.4400000000005,3450.88,12100,228869
12,ADEL,188,3,AVAL,71,43,6205.4400000000005,3450.88,12100,201046
13,ADEL,188,3,AVAR,109,44,4907.52,5068.8,11200,83867
13,ADEL,188,3,ADAL,179,1,4907.52,5068.8,11200,107498
14,ADEL,188,3,AVAR,109,44,4602.88,4997.12,11600,146663
14,ADEL,188,3,ADAL,179,1,4602.88,4997.12,11600,165287
15,ADER,189,4,FLPL,27,77,6090.24,3269.12,12250,86724
15,ADER,189,4,AVAL,71,43,6090.24,3269.12,12250,18696
15,ADER,189,4,ADAR,176,2,6090.24,3269.12,12250,118711
16,ADFL,16,5,AIYL,3,19,4367.36,4761.6,8350,63659
16,ADFL,16,5,RIAL,8,113,4367.36,4761.6,8350,511726
16,ADFL,16,5,AIZL,5,21,4367.36,4761.6,8350,303607
16,ADFL,16,5,SMBDL,88,166,4367.36,4761.6,8350,326868
17,ADFL,16,5,AIZL,5,21,8023.04,9812.48,5950,211025
18,ADFL,16,5,AIZL,5,21,5030.400000000001,8087.04,6500,233251
18,ADFL,16,5,AVHR,89,54,5030.400000000001,8087.04,6500,226810
19,ADFL,16,5,AIZL,5,21,4336.64,6566.400000000001,7050,172237
19,ADFL,16,5,RIR,14,129,4336.64,6566.400000000001,7050,142577
19,ADFL,16,5,AVHR,89,54,4336.64,6566.400000000001,7050,205540
20,ADFL,16,5,RIAL,8,113,4410.88,5250.56,7850,96209
20,ADFL,16,5,AIZL,5,21,4410.88,5250.56,7850,134076
20,ADFL,16,5,SMBVL,20,168,4410.88,5250.56,7850,50208
21,ADFL,16,5,RIAL,8,113,4075.52,5271.04,7650,163499
21,ADFL,16,5,AUAL,66,41,4075.52,5271.04,7650,72430
22,ADFL,16,5,RIR,14,129,8698.880000000001,9896.96,5550,519045
23,ADFL,16,5,SIBDL,156,162,4846.08,4889.6,9200,86902
23,ADFL,16,5,SIBVL,159,164,4846.08,4889.6,9200,88720
23,ADFL,16,5,RIAL,8,113,4846.08,4889.6,9200,99628
24,ADFR,18,6,AIZR,6,22,11146.24,8263.68,5400,32086
24,ADFR,18,6,AUAR,171,42,11146.24,8263.68,5400,388182
24,ADFR,18,6,RIR,14,129,11146.24,8263.68,5400,49702
24,ADFR,18,6,DVA,39,75,11146.24,8263.68,5400,159173
25,ADFR,18,6,AIZR,6,22,8885.76,4175.36,6650,216884
25,ADFR,18,6,AVHL,81,53,8885.76,4175.36,6650,443718
26,ADFR,18,6,AIZR,6,22,6082.56,3540.48,8050,622039
26,ADFR,18,6,RIAR,7,114,6082.56,3540.48,8050,437022
27,ADFR,18,6,AIZR,6,22,6195.2,3591.6800000000003,7850,98504
27,ADFR,18,6,RIAR,7,114,6195.2,3591.6800000000003,7850,62714
28,ADFR,18,6,AUAR,171,42,6351.360000000001,3430.4,7750,335164
28,ADFR,18,6,RIAR,7,114,6351.360000000001,3430.4,7750,401460
29,ADLL,68,7,AIBL,30,13,5762.56,8747.52,7300,170447
29,ADLL,68,7,AIAL,42,11,5762.56,8747.52,7300,2167877
30,ADLL,68,7,ASKL,87,39,9912.32,9725.44,6750,193986
31,ADLL,68,7,AVDL,168,47,6983.68,9712.64,6900,408095
31,ADLL,68,7,OLLL,141,93,6983.68,9712.64,6900,192917
31,ADLL,68,7,AVJL,82,55,6983.68,9712.64,6900,67453
32,ADLR,74,8,AIAR,21,12,11200.0,9062.4,6500,529959
32,ADLR,74,8,ASKR,193,40,11200.0,9062.4,6500,79525
33,ADLR,74,8,AIAR,21,12,11246.08,8849.92,6450,270292
33,ADLR,74,8,ASKR,193,40,11246.08,8849.92,6450,61320
34,ADLR,74,8,AIAR,21,12,10252.8,5258.24,7400,327436
34,ADLR,74,8,ASKR,193,40,10252.8,5258.24,7400,112909
34,ADLR,74,8,AWCR,69,66,10252.8,5258.24,7400,174381
35,ADLR,74,8,ASKR,193,40,9804.8,5112.32,7450,452091
35,ADLR,74,8,AIBR,174,14,9804.8,5112.32,7450,228171
36,ADLR,74,8,AVJR,90,56,11297.28,6469.12,6750,277287
36,ADLR,74,8,OLLR,142,94,11297.28,6469.12,6750,161803
37,ADLR,74,8,SMBVR,19,169,8581.12,4326.4,7400,316096
37,ADLR,74,8,AVDL,168,47,8581.12,4326.4,7400,252756
38,AFDL,192,9,AIYL,3,19,10053.12,10019.84,5750,1027604
39,AFDL,192,9,AIYL,3,19,9679.36,10065.92,5700,314572
40,AFDL,192,9,AIYL,3,19,5017.6,8832.0,6450,424673
41,AFDR,180,10,AIYR,2,20,9454.08,4044.8,6900,1380188
42,AFDR,180,10,AIYR,2,20,11192.32,9090.56,5450,1031536
43,AIAL,42,11,AIBL,30,13,5306.88,8276.48,7300,670648
43,AIAL,42,11,ADAL,179,1,5306.88,8276.48,7300,358274
43,AIAL,42,11,ASKL,87,39,5306.88,8276.48,7300,187424
44,AIAL,42,11,AIBL,30,13,9402.88,9866.24,6350,163508
44,AIAL,42,11,ASKL,87,39,9402.88,9866.24,6350,165482
45,AIAL,42,11,AIBL,30,13,4103.68,5219.84,9400,384911
45,AIAL,42,11,ASKL,87,39,4103.68,5219.84,9400,325291
45,AIAL,42,11,RIFL,170,120,4103.68,5219.84,9400,335751
46,AIAL,42,11,AIBL,30,13,4108.8,5004.8,9700,449455
46,AIAL,42,11,ASKL,87,39,4108.8,5004.8,9700,98857
46,AIAL,42,11,RIFL,170,120,4108.8,5004.8,9700,601189
47,AIAL,42,11,AIBL,30,13,5593.6,9026.56,7200,293984
47,AIAL,42,11,AWCL,110,65,5593.6,9026.56,7200,53356
48,AIAL,42,11,AIBL,30,13,9966.08,9469.44,6600,114503
48,AIAL,42,11,PVQL,57,109,9966.08,9469.44,6600,188272
49,AIAR,21,12,AIBR,174,14,11448.32,8368.64,5900,223412
49,AIAR,21,12,ADFR,18,6,11448.32,8368.64,5900,209124
50,AIAR,21,12,AIBR,174,14,9628.16,4395.52,7700,665026
