syn_id,pre,pre_id,pre_common_id,post,post_id,post_common_id,x_pos,y_pos,z_pos,size
1,ADAL,101,1,AVBL,200,45,17952,8190,10620,50246
1,ADAL,101,1,AVEL,71,49,17952,8190,10620,107193
2,ADAL,101,1,AVBL,200,45,16800,10622,11940,189284
2,ADAL,101,1,RIPL,36,127,16800,10622,11940,149595
3,ADAL,101,1,AVBR,131,46,14660,13874,15630,483055
3,ADAL,101,1,RIAL,202,113,14660,13874,15630,3401
3,ADAL,101,1,RIML,159,125,14660,13874,15630,323171
3,ADAL,101,1,RIML,159,125,14660,13874,15630,323171
4,ADAL,101,1,AVBR,131,46,16006,6326,9480,164360
4,ADAL,101,1,RIPL,36,127,16006,6326,9480,322359
5,ADAL,101,1,AVBR,131,46,15124,13690,14910,162921
5,ADAL,101,1,SIBVL,43,164,15124,13690,14910,67958
6,ADAL,101,1,AVJR,142,56,17304,7066,10110,88991
6,ADAL,101,1,AVAL,191,43,17304,7066,10110,68163
6,ADAL,101,1,AVBL,200,45,17304,7066,10110,27644
7,ADAL,101,1,AVJR,142,56,16802,6726,9960,170281
7,ADAL,101,1,AVBL,200,45,16802,6726,9960,299158
8,ADAL,101,1,AVJR,142,56,17436,9698,11340,462460
8,ADAL,101,1,AVBL,200,45,17436,9698,11340,435055
8,ADAL,101,1,ASHL,143,33,17436,9698,11340,196403
9,ADAL,101,1,RIML,159,125,15252,13918,15300,164307
9,ADAL,101,1,AVBL,200,45,15252,13918,15300,101132
10,ADAL,101,1,RIML,159,125,14984,13868,15630,82593
10,ADAL,101,1,AVBL,200,45,14984,13868,15630,38846
11,ADAL,101,1,RIML,159,125,15432,13750,15270,44343
11,ADAL,101,1,AVJR,142,56,15432,13750,15270,13037
11,ADAL,101,1,AVBL,200,45,15432,13750,15270,25659
12,ADAL,101,1,RIPL,36,127,16190,6450,9240,95763
12,ADAL,101,1,IL2DL,53,87,16190,6450,9240,103436
13,ADAL,101,1,RIPL,36,127,16666,10676,11700,186727
13,ADAL,101,1,OLQVL,11,97,16666,10676,11700,86392
14,ADAR,9,2,AIAR,138,12,8726,10884,11880,27178
14,ADAR,9,2,AIBR,38,14,8726,10884,11880,85141
15,ADAR,9,2,AVAL,191,43,12132,13296,12600,252443
