cell_name,cell_id,cell_common_id,class,mito_id,cell_vol,mito_vol,cell_surf,mito_surf,x_pos,y_pos,z_pos,mito_len,dist_pre,dist_post
AIBR,15,14,2,747,2.6797568,0.0216576,29.61653158322384,0.3723565942839593,5.868936170212766,2.3288132387706857,4.282387706855792,1.3281656494140626,0.6193586976565378,0.666192785587233
AIBR,15,14,2,977,2.6797568,0.0229888,29.61653158322384,0.4381840112819287,7.818975501113585,3.9812561247216034,5.4379732739420925,0.9605542602539062,0.4728622980140948,0.5812776267727069
AIBR,15,14,2,1346,2.6797568,0.0088064,29.61653158322384,0.1948312841947206,4.602976744186046,2.567441860465116,7.082848837209302,0.874919677734375,2.611763074661746,0.33931577531243456
AIBR,15,14,2,1400,2.6797568,0.0203776,29.61653158322384,0.4114193359837563,7.925869346733669,5.646150753768844,7.352386934673367,1.7263682861328125,0.23200179467300797,0.8174578983935925
AIBR,15,14,2,2008,2.6797568,0.0102912,29.61653158322384,0.250027243687614,6.260059701492537,7.735721393034827,10.437064676616917,1.41436083984375,0.2062087065155246,0.8137890254276509
AIBR,15,14,2,2163,2.6797568,0.0109568,29.61653158322384,0.207423376490863,2.1623925233644856,5.928074766355139,11.01939252336449,0.7921876220703125,3.687268569097602,0.32129755286573736
AIBR,15,14,2,2171,2.6797568,0.0017408,29.61653158322384,0.0450274169979695,5.809882352941177,8.132705882352942,10.922058823529412,0.2992562255859375,0.3255522696539182,0.44751738478921976
AIBR,15,14,2,2338,2.6797568,0.0139264,29.61653158322384,0.3258899853874114,5.191764705882353,8.026705882352942,12.285845588235292,1.26468701171875,0.5116630507240223,0.3398844368566884
AIBR,15,14,2,3268,2.6797568,0.0128512,29.61653158322384,0.2968154687870052,4.132462151394423,8.285195219123505,17.505577689243026,0.9659215087890624,3.1207267470960645,0.7741615614765965
AIBL,16,13,2,696,2.8133376000000005,0.0163328,30.663092391325257,0.2631488598904568,4.085366771159874,2.229467084639498,3.969122257053291,0.8221808471679688,0.42918772984306425,0.5775035460431027
AIBL,16,13,2,1362,2.8133376000000005,0.044544,30.663092391325257,0.8120268970669032,2.03336091954023,5.838087356321839,7.464367816091954,1.8787593994140623,0.32547591974237383,0.6031980514513232
AIBL,16,13,2,1445,2.8133376000000005,0.014336,30.663092391325257,0.2847724096916751,5.647542857142857,2.662057142857143,7.349821428571428,0.9670504760742188,3.1727110333712245,0.33838138012953345
AIBL,16,13,2,1862,2.8133376000000005,0.0068608,30.663092391325257,0.1253685424949239,3.126925373134328,7.190447761194031,9.462686567164182,0.3740364379882812,0.25002359256020784,0.401226150322216
AIBL,16,13,2,2250,2.8133376000000005,0.0093184,30.663092391325257,0.1867370849898472,7.562725274725276,6.251956043956044,11.476648351648352,0.6799332885742188,3.51188366583823,0.29683566135806855
AIBL,16,13,2,2427,2.8133376000000005,0.0206336,30.663092391325257,0.4663212695821316,4.7996823821339945,7.841905707196029,12.996898263027296,1.8760362548828124,0.3760175059590517,0.45562265472355795
AIBL,16,13,2,3170,2.8133376000000005,0.0037376,30.663092391325257,0.0845920922961421,5.932273972602739,8.288438356164384,16.680136986301367,0.2946517944335937,1.8348507642525715,0.2929102175947488
AIBL,16,13,2,3171,2.8133376000000005,0.0032768,30.663092391325257,0.0779646752981726,5.887,8.46,16.6703125,0.3196632690429687,1.9103880097132762,0.3120802743786427
AIAL,17,11,2,1446,1.5248384,0.0061952,16.026678893524664,0.1317685424949239,6.818909090909091,3.0981818181818177,7.38305785123967,0.626897705078125,1.0693487297538178,0.2823470609921383
AIAL,17,11,2,1519,1.5248384,0.0078848,16.026678893524664,0.1429685424949238,5.200623376623376,2.840103896103896,7.728896103896104,0.5136699829101562,0.33121383575027524,0.33337885676099416
AIAL,17,11,2,2112,1.5248384,0.0054784,16.026678893524664,0.1165920922961422,7.757457943925233,5.105345794392523,10.667289719626169,0.4675455322265625,0.42845786513474693,0.26161781383075194
AIAL,17,11,2,2214,1.5248384,0.0068096,16.026678893524664,0.137070476093299,7.694917293233082,5.479939849624061,11.31766917293233,0.3631494140625,0.3768743129009654,0.3039146465477239
AIAL,17,11,2,2279,1.5248384,0.009472,16.026678893524664,0.1909214428924872,7.965751351351352,5.675762162162162,11.671351351351351,0.8322999877929688,0.43593902214638836,0.28641862898552717
AIAL,17,11,2,3169,1.5248384,0.0206848,16.026678893524664,0.4329957861825381,6.300277227722773,7.816158415841584,17.099133663366338,1.4682529296875,0.5973958843086907,0.4118229709725332
AIAR,18,12,2,1459,1.4869504000000002,0.0064512,15.451130380254924,0.1233803173955329,4.352761904761905,2.7360000000000007,7.438492063492064,0.329035888671875,0.3053386313066261,0.22041965117780835
AIAR,18,12,2,1568,1.4869504000000002,0.007168,15.451130380254924,0.129505800795127,4.405257142857143,2.698971428571428,7.899642857142859,0.4880431518554687,0.44393419097696013,0.31994887123426574
AIAR,18,12,2,2161,1.4869504000000002,0.026112,15.451130380254924,0.5314859448803043,2.1921882352941178,5.713192156862745,11.631470588235295,1.81396728515625,0.3282380468177041,0.2626534503610099
AIAR,18,12,2,3084,1.4869504000000002,0.014592,15.451130380254924,0.343215468787005,3.666863157894737,7.814400000000001,16.43298245614035,1.343964599609375,0.2874503345328071,0.318877510578665
AIYR,19,20,2,1227,1.8596864,0.0114688,19.8592480103196,0.2372743432900507,3.632714285714286,2.6638571428571427,6.513392857142857,0.87518701171875,0.6147421404415789,0.33375553385307516
