cell_name,cell_id,cell_common_id,class,mito_id,cell_vol,mito_vol,cell_surf,mito_surf,x_pos,y_pos,z_pos,mito_len,dist_pre,dist_post
AWBL,1,63,1,4541,1.486164535227188,0.008842867900416,14.225192843723477,0.1748065522714924,14.901434181818182,8.66560930909091,6.024090909090908,0.7094553842366502,0.28267394421564246,0.5882023310336422
AWBL,1,63,1,5111,1.486164535227188,0.0142289783488512,14.225192843723477,0.2480847724072381,18.19276583050848,12.968699661016949,6.845197740112994,0.7691032538210341,0.22492307637861855,0.36487012805927804
AWBR,10,64,1,4600,1.5089550174978057,0.0204189858791424,15.2993448325461,0.3954502897565601,13.564403905511812,8.709337700787403,6.159448818897638,1.6440399636973404,0.5555024080723283,0.4201849113132076
AWBR,10,64,1,5641,1.5089550174978057,0.0117770922491904,15.2993448325461,0.1848537184511302,8.783697255972696,14.65048333105802,7.5679180887372,0.8150203893333521,1.049693364325284,0.9919905789730725
AWBR,10,64,1,5964,1.5089550174978057,0.0053057207402496,15.2993448325461,0.104862797956108,8.817757090909092,13.655505454545455,7.976893939393938,0.4469388431338636,0.26892694065259537,0.7497145468440728
RMFR,15,144,3,3198,2.4298191247638536,0.0016881838718976,27.301213527702185,0.0385086122475111,14.577078857142856,8.274505142857143,4.132142857142857,0.2134714593909816,5.360424527667766,0.6627861890546837
RMFR,15,144,3,3425,2.4298191247638536,0.0177661255090176,27.301213527702185,0.3741060825868765,8.29523402714932,12.942266497737558,4.439819004524887,1.5918809474196962,2.101019021095254,0.43289329530561355
RMFR,15,144,3,3565,2.4298191247638536,0.0080791656726528,27.301213527702185,0.1716215222036189,8.496693492537313,14.866279164179105,4.690049751243781,0.8391763217969311,0.2228861791728057,0.673759009907596
RMFR,15,144,3,4737,2.4298191247638536,0.0051047464697856,27.301213527702185,0.1159922735968311,9.773701039370078,17.056905070866136,6.360629921259846,0.4795712850137519,1.132545867496261,0.49670331305949167
RMFR,15,144,3,4816,2.4298191247638536,0.0139878092242944,27.301213527702185,0.3001863507226231,11.219791448275862,18.010465103448276,6.492816091954023,1.0120259286751452,2.7495204202602834,0.6023663843824544
SMDDR,16,171,3,2084,5.214920564853967,0.0294226331959296,44.21490132149428,0.4664144552176461,14.948587016393445,8.817345049180329,2.732581967213115,1.150947164930793,0.7830602116337135,0.5079219967423383
SMDDR,16,171,3,2085,5.214920564853967,0.0211826881069056,44.21490132149428,0.3619124270818991,15.409012098671733,9.123058884250476,2.67865275142315,1.0093762068444485,0.5864384109046024,0.4279597022616291
SMDDR,16,171,3,2193,5.214920564853967,0.0312314016301056,44.21490132149428,0.5197477787466044,16.590191691119692,9.686707891891892,2.941570141570142,1.784555973823206,0.2799698457436322,0.4346551902715063
SMDDR,16,171,3,2235,5.214920564853967,0.0064713715089408,44.21490132149428,0.1200920477764701,14.67614608695652,8.973598211180123,2.871739130434783,0.3881530837259969,0.8303033530801334,0.4060453561984161
SMDDR,16,171,3,2396,5.214920564853967,0.0286589309681664,44.21490132149428,0.4208323727904955,15.942585626928471,8.99743560168303,3.058625525946704,1.096629686267725,0.42036434750187424,0.4766253901634964
SMDDR,16,171,3,3967,5.214920564853967,0.0023313015373824,44.21490132149428,0.057072327888235,10.569374896551723,10.557510620689657,5.269827586206896,0.3822325106702882,4.270160894543596,4.321833461060166
SMDDR,16,171,3,4786,5.214920564853967,0.042003622526976,44.21490132149428,0.6621169074013542,11.142781917703353,17.170134109090906,6.571818181818183,1.7882424713188934,8.923122259705403,0.30353124108926494
SMDDR,16,171,3,5245,5.214920564853967,0.0399134901141504,44.21490132149428,0.7022874425230734,12.157051746223566,17.415301027190335,7.195770392749245,1.9619727841353327,8.845029436657647,0.3600613437467197
SMDDR,16,171,3,5333,5.214920564853967,0.033562703167488,44.21490132149428,0.6804511593773727,13.11378303233533,17.72606543712575,7.654311377245509,2.022384948251615,8.748039722699488,0.2835238836000405
SMDDR,16,171,3,6271,5.214920564853967,0.0165602798862336,44.21490132149428,0.3417124276886857,12.965092660194175,17.889717436893203,8.614563106796119,0.9678206620176572,9.37947859331643,0.4149746254102864
SMDDR,16,171,3,13001,5.214920564853967,0.0061498126761984,44.21490132149428,0.1143997585628957,12.878787764705882,17.79511215686275,7.778758169934641,0.3984704850137484,8.967599229061921,0.3910858029741414
SMDDL,17,170,3,2501,5.053297056546818,0.0350499127689216,44.03221973149027,0.5421123970619885,11.918232660550458,9.156053724770642,3.2122706422018354,1.3855316512660647,0.47107115391136245,0.6285132200457689
SMDDL,17,170,3,2628,5.053297056546818,0.0043812390961152,44.03221973149027,0.0917362687425332,12.93870033027523,9.439213211009177,3.319266055045873,0.3562491448779661,0.5397916106847647,0.281260992011387
SMDDL,17,170,3,2744,5.053297056546818,0.04220459679744,44.03221973149027,0.6142645390180967,11.485441462857144,9.272477988571428,3.5327619047619048,1.3920107756179696,0.2665459754996982,0.5329051404073821
SMDDL,17,170,3,2779,5.053297056546818,0.0090840370249728,44.03221973149027,0.1438816157764702,12.320296778761062,9.154886230088495,3.524115044247788,0.4175861268936358,0.5518400691158166,0.31035622081647307
SMDDL,17,170,3,2802,5.053297056546818,0.02311204110336,44.03221973149027,0.37992216843122,10.817329419130436,9.993499158260873,3.7466086956521742,0.8823717298748285,0.3156310412992655,0.5962910207696143
SMDDL,17,170,3,3589,5.053297056546818,0.0073556582989824,44.03221973149027,0.1477881854850666,18.33812773770492,12.108716065573768,4.656557377049181,0.6060213713490208,5.01921136956852,2.9008623198870946
